School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Talbingo Public School,Kooringal,Catholic,308,157,151
Tallimba Public School,Wagga Wagga,Catholic,536,264,272
Tallong Public School,Wagga Wagga,Catholic,209,112,97
Tallowood Steiner School,Wagga Wagga,Catholic,209,112,97
Tambar Springs Public School,Wagga Wagga,Catholic,209,112,97
Tambelin Independent School,Armidale,Catholic,343,165,178
Tamworth Public School,Barraba,Catholic,61,31,30
Tamworth South Public School,Boggabri,Catholic,39,19,20
Tamworth West Public School,Gunnedah,Catholic,365,187,178
Tangara School for Girls,Guyra,Catholic,89,40,49
Tanilba Bay Public School,Manilla,Catholic,90,40,50
Tanja Public School,Moree,Catholic,377,195,182
Tara Anglican School for Girls,Mungindi,Catholic,45,22,23
Tarago Public School,Mungindi,Catholic,45,22,23
Taralga Public School,Narrabri,Catholic,187,90,97
Tarcutta Public School,Quirindi,Catholic,78,34,44
Taree Christian College,Quirindi,Catholic,78,34,44
Taree Public School,Tamworth,Catholic,590,288,302
Taree West Public School,West Tamworth,Catholic,175,77,98
Taren Point Public School,South Tamworth,Catholic,558,281,277
Tarrawanna Public School,Tenterfield,Catholic,126,56,70
Tarro Public School,Uralla,Catholic,30,18,12
Tathra Public School,Walcha,Catholic,67,34,33
Taverners Hill Infants School,Walgett,Catholic,136,79,57
Tea Gardens Public School,Warialda,Catholic,12,9,3
Telarah Public School,Warialda,Catholic,12,9,3
Telegraph Point Public School,Warialda,Catholic,12,9,3
Telopea Public School,Wee Waa,Catholic,107,46,61
Temora Public School,Inverell,Catholic,540,251,289
Temora West Public School,Glen Innes,Catholic,198,108,90
Tempe Public School,Dulwich Hill,Independent,462,201,261
Tenambit Public School,Chatswood,Independent,1131,0,1131
Teralba Public School,Kirribilli,Independent,1104,1104,0
Terara Public School,Strathfield,Independent,1441,0,1441
Terranora Public School,Lewisham,Independent,1327,0,1327
Terrey Hills Public School,Gregory Hills,Independent,1214,80,1134
Terrigal Public School,Brookvale,Independent,1341,0,1341
Teven-Tintenbar Public School,Strathfield,Independent,1189,1053,136
Tharawal Public School,Greenacre,Independent,260,118,142
Tharbogang Public School,Rose Bay,Independent,911,879,32
The Alpine School,Normanhurst,Independent,1087,1087,0
The Anglican School Googong,Harris Park,Independent,1221,645,576
The Armidale School,Punchbowl,Independent,1167,611,556
The Armidale Waldorf School,Menangle Park,Independent,1053,501,552
The Assumption Catholic Primary School,Regents Park,Independent,644,304,340
The Athena School,Condell Park,Independent,93,51,42
The Central Coast Montessori Primary School,Belrose,Independent,909,447,462
The Channon Public School,Dubbo,Independent,530,269,261
The Entrance Public School,Maroubra,Independent,274,124,150
The Grange Public School,Bradbury,Independent,134,59,75
The Hills Grammar School,Engadine,Independent,31,10,21
The Illawarra Grammar School,Summer Hill,Independent,2124,0,2124
The Junction Public School,North Casino,Independent,240,119,121
The King's School,Deniliquin,Independent,54,23,31
"The King's School, Tudor House",Greenacre,Independent,348,162,186
The Lakes Christian College,Bourke,Independent,16,6,10
The McDonald College,Glendale,Independent,211,108,103
The Meadows Public School,Oatlands,Independent,1106,528,578
The Nature School Primary,Bondi,Independent,50,22,28
The Oaks Public School,Rossmore,Independent,626,318,308
The Pocket Public School,Prospect,Independent,113,51,62
The Risk Public School,Armidale,Independent,44,13,31
The Rock Central School,Lane Cove,Independent,91,44,47
The Scots College,Wellington,Independent,58,28,30
The Scots School Albury,Bega,Independent,36,25,11
The Sir Henry Parkes Memorial Public School,Greenacre,Independent,622,334,288
The Small School,Nambucca Heads,Independent,259,146,113
Thirlmere Public School,Narromine,Independent,133,63,70
Thirroul Public School,Tamworth,Independent,49,27,22
Thomas Acres Public School,Castlereagh,Independent,294,139,155
Thomas Hassall Anglican College,Wentworth Falls,Independent,126,72,54
Thomas More Christian Montessori School,Hazelbrook,Independent,79,38,41
Thornleigh West Public School,Armidale,Independent,118,57,61
Thornton Public School,Grafton,Independent,171,74,97
Thurgoona Public School,Kurrajong,Independent,191,102,89
Tibooburra Outback Public School,Taree,Independent,633,342,291
Tighes Hill Public School,Mullumbimby,Independent,652,349,303
Timbumburi Public School,Thurgoona,Independent,180,87,93
Tingha Public School,Wahroonga,Independent,1459,1459,0
Tinonee Public School,Dural,Independent,267,144,123
Tintinhull Public School,Cooma North,Independent,85,38,47
Tirranna Public School,Mullumbimby,Independent,49,29,20
Tocumwal Public School,Albion Park,Independent,257,126,131
Tomaree Public School,Goonellabah,Independent,476,241,235
Tomerong Public School,Fountaindale,Independent,278,165,113
Tooleybuc Central School,Macksville,Independent,19,13,6
Toomelah Public School,Wagga Wagga,Independent,566,284,282
Toongabbie Christian College,Tinonee,Independent,20,11,9
Toongabbie East Public School,Moama,Independent,686,375,311
Toongabbie Public School,Goonellabah,Independent,204,82,122
Toongabbie West Public School,Byron Bay,Independent,370,204,166
Tooraweenah Public School,Terragon,Independent,61,30,31
Toormina Public School,East Maitland,Independent,244,130,114
Toronto Adventist School,Austral,Independent,962,500,462
Toronto Public School,Blacktown,Independent,867,442,425
Tottenham Central School,Orange,Independent,409,198,211
Toukley Public School,Cordeaux Heights,Independent,582,305,277
Towamba Public School,Moree,Independent,99,56,43
Tower Street Public School,Barden Ridge,Independent,841,405,436
Towradgi Public School,Nulkaba,Independent,1033,519,514
Trangie Central School,Mosman,Independent,896,896,0
Tregeagle Public School,Wee Waa,Independent,53,25,28
Tregear Public School,Murwillumbah,Independent,224,103,121
Trinity Anglican College - Albury,North Strathfield,Independent,303,179,124
Trinity Catholic Primary School,Scone,Independent,518,284,234
Trinity Catholic Primary School,Hurstville,Independent,159,76,83
Trinity Grammar School,Kempsey,Independent,524,265,259
Trundle Central School,Ballina,Independent,678,335,343
Trunkey Public School,Eungella,Independent,116,60,56
Truscott Street Public School,Werrington,Independent,183,0,183
Tucabia Public School,Lillian Rock,Independent,97,53,44
Tuggerah Public School,Middle Cove,Independent,411,196,215
Tuggerawong Public School,Orchard Hills,Independent,745,370,375
Tullamore Central School,Belrose,Independent,177,95,82
Tullibigeal Central School,Bega,Independent,170,85,85
Tullimbar Public School,Tuntable Falls Via Nimbin,Independent,37,19,18
Tulloona Public School,Dubbo,Independent,525,251,274
Tumbarumba Public School,Bellevue Hill,Independent,1967,0,1967
Tumbulgum Public School,Riverstone,Independent,682,328,354
Tumut Public School,Richmond Hill,Independent,40,20,20
Tuncurry Public School,Green Valley,Independent,913,474,439
Tuntable Creek Public School,Jindera,Independent,192,88,104
Tuntable Falls Community School,Greenfield Park,Independent,744,356,388
Turramurra North Public School,Cundletown,Independent,384,191,193
Turramurra Public School,Fassifern,Independent,619,320,299
Turvey Park Public School,Thora,Independent,183,86,97
Tweed Heads Public School,Byron Bay,Independent,103,52,51
Tweed Heads South Public School,Bomaderry,Independent,913,484,429
Tweed Valley Adventist College,Kenthurst,Independent,899,383,516
Tyalgum Public School,Dover Heights,Independent,335,178,157
Tyalla Public School,North Parramatta,Independent,714,714,0
Tyndale Christian School,Sydney,Independent,1313,498,815
Uki Public School,Armidale,Independent,618,170,448
Ulan Public School,Middleton Grange,Independent,1621,774,847
Ulladulla Public School,Orange,Independent,1081,546,535
Ulmarra Public School,Cooranbong,Independent,863,444,419
Ulong Public School,Pymble,Independent,2273,2273,0
Ultimo Public School,Wallsend,Independent,798,395,403
Umina Beach Public School,Kemps Creek,Independent,245,123,122
Unanderra Public School,Bathurst,Independent,675,327,348
Undercliffe Public School,Jindabyne,Independent,283,133,150
Ungarie Central School,North Parramatta,Independent,468,202,266
Unity Grammar College,The Hill,Independent,859,430,429
Upper Coopers Creek Public School,Pymble,Independent,88,36,52
Upper Lansdowne Public School,Riverwood,Independent,36,20,16
Uralla Central School,St Ives,Independent,479,186,293
Urana Public School,Toongabbie,Independent,973,501,472
Uranquinty Public School,Arcadia,Independent,401,172,229
Urbenville Public School,Roseville,Independent,973,973,0
Urunga Public School,Mount Annan,Independent,454,221,233
Vacy Public School,Gunnedah,Independent,155,74,81
Valentine Public School,Tamworth,Independent,722,378,344
Valley View Public School,Mount Druitt,Independent,340,169,171
Vardys Road Public School,North Sydney,Independent,1138,1138,0
Vaucluse Public School,Forestville,Independent,60,24,36
Verity Christian College,Mittagong,Independent,124,94,30
Victoria Avenue Public School,Randwick,Independent,377,196,181
Villa Maria Catholic Primary School,Farmborough Heights,Independent,627,331,296
Villawood East Public School,Georges Hall,Independent,931,431,500
Villawood North Public School,Cremorne,Independent,1600,806,794
Vincentia Public School,Erina,Independent,957,498,459
Vineyard Public School,Bega,Independent,296,165,131
Vistara Primary School,Armidale,Independent,261,240,21
Wadalba Community School,North Parramatta,Independent,1772,0,1772
Wagga Wagga Christian College,Port Macquarie,Independent,1157,583,574
Wagga Wagga Public School,Salamander Bay,Independent,717,343,374
Wahroonga Adventist School,Burradoo,Independent,704,364,340
Wahroonga Public School,Kellyville,Independent,1566,781,785
Waitara Public School,Tahmoor,Independent,987,553,434
Wakehurst Public School,Brightwaters,Independent,27,12,15
Wakool Burraboi Public School,Mulgoa,Independent,461,217,244
Walbundrie Public School,Ryde,Independent,357,176,181
Walcha Central School,Doonside,Independent,672,339,333
Walgett Community College - Primary School,Medowie,Independent,451,209,242
Walhallow Public School,Meadowbank,Independent,90,49,41
Walla Walla Public School,Hazelbrook,Independent,225,102,123
Wallabadah Public School,Dunmore,Independent,667,329,338
Wallacia Public School,Ballina,Independent,218,123,95
Wallendbeen Public School,Thurgoona,Independent,1122,596,526
Wallerawang Public School,Goulburn,Independent,19,10,9
Wallsend Public School,Strathfield,Independent,1276,1276,0
Wallsend South Public School,Hurstville,Independent,931,931,0
Walters Road Public School,Henty,Independent,37,17,20
Wamberal Public School,Belrose,Independent,37,23,14
Wamoon Public School,Liverpool,Independent,890,435,455
Wanaaring Public School,Rose Bay,Independent,972,972,0
Wangi Wangi Public School,Port Macquarie,Independent,88,43,45
Waniora Public School,Bondi,Independent,101,46,55
Waratah Public School,Albury,Independent,437,224,213
Waratah West Public School,Bowral,Independent,363,179,184
Wardell Public School,Bankstown,Independent,600,286,314
Warialda Public School,Hurstville,Independent,785,338,447
Warilla North Public School,Prestons,Independent,1139,553,586
Warilla Public School,Campbelltown,Independent,480,229,251
Warners Bay Public School,Waratah,Independent,1304,640,664
Warnervale Public School,Ultimo,Independent,1186,544,642
Warragamba Public School,Wyong,Independent,736,379,357
Warrawee Public School,Macquarie Fields,Independent,608,301,307
Warrawong Public School,Mount Druitt,Independent,1182,585,597
Warren Central School,Orchard Hills,Independent,971,457,514
Warrimoo Public School,Gordon,Independent,1268,1268,0
Warwick Farm Public School,Strathfield,Independent,452,207,245
Waterfall Public School,Darlinghurst,Independent,930,930,0
Wattawa Heights Public School,Toronto,Independent,28,13,15
Wattle Flat Public School,Kingsgrove,Independent,207,118,89
Wattle Grove Public School,Wollongong West,Independent,777,371,406
Wauchope Public School,Erina Heights,Independent,1282,640,642
Waverley Public School,Arncliffe,Independent,472,243,229
Wee Jasper Public School,Warrimoo,Independent,328,142,186
Wee Waa Public School,Wagga Wagga,Independent,347,159,188
Weethalle Public School,Cobbitty,Independent,848,438,410
Weilmoringle Public School,Lakemba,Independent,542,279,263
Wellington Christian School,Morisset,Independent,253,114,139
Wellington Public School,Auburn,Independent,2200,1148,1052
Wenona School,Edgecliff,Independent,1181,1181,0
Wentworth Falls Public School,Broulee,Independent,365,174,191
Wentworth Point Public School,Mount Ousley,Independent,155,71,84
Wentworth Public School,Randwick,Independent,829,400,429
Wentworthville Public School,Greenacre,Independent,1851,999,852
Werrington County Public School,Oakville,Independent,1160,573,587
Werrington Public School,Berowra,Independent,50,20,30
Werris Creek Public School,Mount Druitt,Independent,260,129,131
West Pennant Hills Public School,Coffs Harbour,Independent,1013,503,510
West Pymble Public School,Wentworth Falls,Independent,542,259,283
West Ryde Public School,Parkes,Independent,217,109,108
West Wallsend Public School,Toormina,Independent,25,12,13
West Wyalong Public School,Dubbo,Independent,29,10,19
Westdale Public School,Blackheath,Independent,189,80,109
Western Grammar School,Narara,Independent,580,264,316
Westlawn Public School,Green Point,Independent,960,520,440
Westmead Christian Grammar School,Ingleside,Independent,306,148,158
Westmead Public School,Kurrajong,Independent,51,24,27
Weston Public School,Beecroft,Independent,859,377,482
Westport Public School,Ashtonfield,Independent,1089,546,543
Whalan Public School,Bangor,Independent,1086,547,539
Wheeler Heights Public School,Belrose,Independent,228,111,117
Whian Whian Public School,Greenacre,Independent,2730,1381,1349
White Cliffs Public School,Nowra,Independent,413,203,210
Whitton-Murrami Public School,Balmain,Independent,185,87,98
Wiangaree Public School,Bexley,Independent,254,113,141
Widemere Public School,Dural,Independent,1330,643,687
Wideview Public School,Armidale,Independent,253,253,0
Wilberforce Public School,Croydon,Independent,1354,1354,0
Wilcannia Central School,Newtown,Independent,45,23,22
Wiley Park Public School,Dural,Independent,440,0,440
Wilkins Public School,Oakhurst,Independent,1038,502,536
Willawarrin Public School,Bensville,Independent,74,30,44
William Bayldon Public School,Waverley,Independent,1013,1013,0
William Carey Christian School,Dee Why,Independent,1148,569,579
William Clarke College,Wattle Grove,Independent,737,342,395
William Dean Public School,Terranora,Independent,1198,600,598
William Stimson Public School,Cranebrook,Independent,829,431,398
Willmot Public School,Prestons,Independent,2007,1064,943
Willoughby Public School,Duffys Forest,Independent,51,26,25
Willow Tree Public School,Moss Vale,Independent,141,41,100
Wilsons Creek Public School,Wahroonga,Independent,516,244,272
Wilton Public School,Rouse Hill,Independent,1307,646,661
Wilton Public School,Coffs Harbour,Independent,106,50,56
Windale Public School,Burwood,Independent,1221,1221,0
Windang Public School,Fletcher,Independent,809,401,408
Windellama Public School,Metford,Independent,461,223,238
Windsor Park Public School,Orchard Hills,Independent,671,436,235
Windsor Public School,Belmont North,Independent,617,300,317
Windsor South Public School,Georges Hall,Independent,141,77,64
Wingello Public School,Erskine Park,Independent,639,298,341
Wingham Brush Public School,Mayfield,Independent,344,152,192
Wingham Public School,Gymea,Independent,116,64,52
Winmalee Public School,Mosman,Independent,301,0,301
Winston Heights Public School,Terrey Hills,Independent,1228,532,696
Winston Hills Public School,Orange,Independent,334,167,167
Wiripaang Public School,Muswellbrook,Independent,48,25,23
Wirreanda Public School,Randwick,Independent,125,0,125
Wisemans Ferry Public School,Murwillumbah,Independent,231,124,107
Wollemi College,Oxford Falls,Independent,1126,553,573
Wollondilly Anglican College,Singleton,Independent,182,86,96
Wollondilly Public School,Townsend,Independent,324,166,158
Wollongbar Public School,Westmead,Independent,112,48,64
Wollongong Public School,Riverstone,Independent,667,345,322
Wollongong West Public School,Wilton,Government,462,208,254
Wolumla Public School,Wilton,Government,462,208,254
Wombat Public School,Sydney,Independent,32,19,13
Wongarbon Public School,Westmead,Catholic,389,198,191
Woodberry Public School,Oran Park,Catholic,816,416,400
Woodburn Public School,Branxton,Catholic,312,167,145
Woodenbong Central School,North Kellyville,Independent,604,305,299
Woodland Road Public School,Fairy Meadow,Catholic,459,231,228
Woodport Public School,Oran Park,Independent,680,343,337
Woodstock Public School,Collaroy,Independent,848,383,465
Woolbrook Public School,Plumpton,Independent,328,164,164
Woolgoolga Public School,Bowral,Independent,80,38,42
Wooli Public School,Kariong,Independent,378,90,288
Woollahra Public School,Canley Vale,Independent,105,48,57
Woolomin Public School,Cecil Park,Independent,256,111,145
Woolooware Public School,Minto,Independent,657,354,303
Woongarrah Public School,Chester Hill,Independent,1118,589,529
Woonona East Public School,Lakemba,Independent,369,203,166
Woonona Public School,Pottsville,Catholic,321,162,159
Woronora River Public School,Chisholm,Catholic,566,288,278
Woy Woy Public School,Oran Park,Government,1512,712,800
Woy Woy South Public School,Strathfield,Government,384,219,165
Wyalong Public School,North Kellyville,Independent,449,237,212
Wyangala Dam Public School,North Strathfield,Catholic,272,148,124
Wycliffe Christian School,Concord West,Government,270,119,151
Wyee Public School,Arncliffe,Independent,61,30,31
Wyndham Public School,Lake Cathie,Government,307,167,140
Wyoming Public School,Googong,Independent,245,119,126
Wyong Christian Community School,Marsden Park,Catholic,565,288,277
Wyong Creek Public School,The Ponds,Government,1389,659,730
Wyong Public School,Austral,Independent,597,277,320
Wyrallah Public School,Chatswood,Independent,40,26,14
Wyrallah Road Public School,Cammeray,Government,619,319,300
Wytaliba Public School,Spring Farm,Government,500,244,256
Yagoona Public School,Yarramalong,Independent,28,13,15
Yamba Public School,West Pennant Hills,Independent,13,6,7
Yanco Public School,Edmondson Park,Catholic,667,343,324
Yanderra Public School,Mortlake,Catholic,167,75,92
Yanginanook School,Austral,Catholic,199,115,84
Yarrawarrah Public School,Bateau Bay,Independent,40,27,13
Yarrowitch Public School,Young,Independent,80,48,32
Yass Public School,Dubbo,Independent,34,17,17
Yates Avenue Public School,Port Macquarie,Independent,21,10,11
Yenda Public School,Griffith,Independent,27,18,9
Yennora Public School,Port Macquarie,Independent,39,19,20
Yeo Park Infants School,Minto,Independent,41,18,23
Yeoval Central School,East Ballina,Government,641,327,314
Yerong Creek Public School,Wentworth Point,Government,357,171,186
Yeshiva College,Queanbeyan,Government,366,199,167
Yetman Public School,Cooma,Independent,29,12,17
Yoogali Public School,Murwillumbah,Independent,11,5,6
York Public School,Lindfield,Government,315,147,168
Young North Public School,Bella Vista,Government,194,85,109
Young Public School,North Kellyville,Government,354,164,190
Yowie Bay Public School,Parramatta,Government,78,36,42
Zahra Grammar School,Auburn,Independent,71,30,41
Zig Zag Public School,Kellyville,Catholic,20,9,11
