School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Condell Park Public School,Orange,Government,126,63,63
Condobolin Public School,Canowindra,Government,224,123,101
Condong Public School,Capertee,Government,5,3,2
Congewai Public School,Captains Flat,Government,42,16,26
Coniston Public School,Caragabal,Government,29,11,18
Connells Point Public School,Carcoar,Government,16,8,8
Cooerwull Public School,Cardiff,Government,161,85,76
Coogee Boys' Preparatory School,Cardiff,Government,243,100,143
Coogee Public School,Cardiff South,Government,298,146,152
Coolah Central School,Cargo,Government,29,17,12
Coolamon Central School,Carinda,Government,13,6,7
Coolongolook Public School,Carlingford,Government,784,383,401
Cooma North Public School,Carlingford,Government,1528,730,798
Cooma Public School,Seaforth,Government,520,248,272
Coonabarabran Public School,Carool,Government,17,8,9
Coonamble Public School,Carramar,Government,229,116,113
Coopernook Public School,Carrathool,Government,7,3,4
Coorabell Public School,Carrington,Government,112,53,59
Cooranbong Public School,Carroll,Government,29,14,15
Cootamundra Public School,Castle Hill,Government,1021,507,514
Copacabana Public School,Cartwright,Government,234,115,119
Copmanhurst Public School,Cowan,Government,43,18,25
Coraki Public School,Dee Why,Government,490,221,269
Coramba Public School,Casino,Government,678,337,341
Corindi Public School,Dural,Government,438,215,223
Corndale Public School,Casino,Government,224,108,116
Corowa Public School,Epping,Government,631,319,312
Corowa South Public School,Cassilis,Government,9,3,6
Corpus Christi Catholic Primary School,Epping,Government,1290,621,669
Corpus Christi Primary School,Castle Cove,Government,442,218,224
Corpus Christi Primary School,West Ryde,Government,402,181,221
Corrimal East Public School,Frenchs Forest,Government,261,133,128
Corrimal Public School,Castlereagh,Government,106,46,60
Coutts Crossing Public School,Galston,Government,250,122,128
Covenant Christian School,Gladesville,Government,537,258,279
Cowan Public School,Casula,Government,901,417,484
Cowper Public School,Glenhaven,Government,438,208,230
Cowra Public School,Glenorie,Government,295,140,155
Crabbes Creek Public School,Cattai,Government,53,22,31
Crawford Public School,Greenwich,Government,487,248,239
Crescent Head Public School,Caves Beach,Government,415,191,224
Crestwood Public School,Freshwater,Government,1109,550,559
Cringila Public School,Camden,Government,84,39,45
Cromer Public School,Glenorie,Government,18,7,11
Cronulla Public School,Cecil Hills,Government,795,395,400
Cronulla South Public School,Hunters Hill,Government,369,175,194
Crookwell Public School,Kenthurst,Government,216,120,96
Croppa Creek Public School,Banora Point,Government,502,219,283
Crossmaglen Public School,Lane Cove,Government,867,437,430
Crown Street Public School,Lindfield,Government,822,400,422
Croydon Park Public School,East Lindfield,Government,674,310,364
Croydon Public School,Central Mangrove,Government,45,24,21
Crystal Creek Public School,Balgowlah,Government,871,429,442
Cudal Public School,Central Tilba,Government,43,18,25
Cudgegong Valley Public School,Middle Dural,Government,32,14,18
Cudgen Public School,Cessnock,Government,318,164,154
Culburra Public School,Mosman,Government,609,308,301
Culcairn Public School,Cessnock,Government,396,190,206
Cullen Bullen Public School,Mona Vale,Government,1131,517,614
Cumnock Public School,Wollomombi,Government,6,3,3
Cundletown Public School,Narrabeen,Government,418,191,227
Curl Curl North Public School,Charlestown,Government,309,136,173
Curlewis Public School,Neutral Bay,Government,959,471,488
Currabubula Public School,Charlestown,Government,146,73,73
Currambena Primary School,Newport,Government,775,394,381
Curran Public School,Charlestown,Government,233,120,113
Currans Hill Public School,Normanhurst,Government,417,198,219
Daceyville Public School,Northbridge,Government,519,274,245
Dalgety Public School,Taree,Government,263,129,134
Dalmeny Public School,North Rocks,Government,846,415,431
Dalton Public School,Chatswood,Government,1315,629,686
Danebank - An Anglican School for Girls,Waverton,Government,887,456,431
Dapto Public School,Chatsworth,Government,54,29,25
Darcy Road Public School,Pennant Hills,Government,565,282,283
Dareton Public School,Cherrybrook,Government,903,420,483
Darkinjung Barker,West Pennant Hills,Government,638,291,347
Darlinghurst Public School,Springfield,Government,214,110,104
Darlington Point Public School,Ryde,Government,484,236,248
Darlington Public School,Chester Hill,Government,534,276,258
Dawson Public School,Roseville,Government,638,318,320
Dee Why Public School,Chester Hill,Government,692,340,352
Deepwater Public School,Ryde,Government,602,276,326
Delegate Public School,North Ryde,Government,420,211,209
Delungra Public School,Chillingham,Government,34,16,18
Deniliquin Christian School,West Ryde,Government,691,329,362
Deniliquin North Public School,Chipping Norton,Government,346,169,177
Deniliquin South Public School,Terrey Hills,Government,236,107,129
Denistone East Public School,Bligh Park,Catholic,484,247,237
Denman Public School,North Turramurra,Government,258,129,129
Dobroyd Point Public School,Chittaway Bay,Government,390,171,219
Doonside Public School,Wahroonga,Government,978,522,456
Dora Creek Public School,North Rocks,Catholic,325,145,180
Dorrigo Public School,Turramurra,Government,687,318,369
Double Bay Public School,Willoughby,Government,1047,539,508
Doubtful Creek Public School,Greenacre,Government,315,139,176
Douglas Park Public School,St Clair,Government,428,203,225
Drake Public School,Claremont Meadows,Government,564,280,284
