Suburb,Year,Average
Ashcroft,2012,94.2
Ashfield,2012,94.1
Ashmont,2012,94
Ashtonfield,2012,91.7
Auburn,2012,92.325
Austinmer,2012,96.2
Austral,2012,95.1
Avalon Beach,2012,95.9
Avoca Beach,2012,95.7
Awaba,2012,95.5
Balgowlah,2012,92.4
Balgownie,2012,94.8
Ballina,2012,94.3
Balmain,2012,93.13333333
Balmain East,2012,94.9
Balranald,2012,96.1
Bangalow,2012,95.7
Bangor,2012,91.65
Bankstown,2012,94.03333333
Banora Point,2012,90.05
Baradine,2012,94.8
Barden Ridge,2012,92.15
Bardia,2012,94.1
Bargo,2012,92.6
Barham,2012,93.2
Barnsley,2012,69.8
Barooga,2012,94.2
Barraba,2012,94.1
Barrack Heights,2012,92.9
Bass Hill,2012,93.5
Bateau Bay,2012,92.9
Bathurst,2012,95.2
Batlow,2012,97.4
Baulkham Hills,2012,94.5
Beacon Hill,2012,98.4
Beaumont Hills,2012,95.8
Beecroft,2012,92.15
Beelbangera,2012,95.7
Bega,2012,92.65
Bellambi,2012,93
Bellbird,2012,94.8
Bellevue Hill,2012,94.05
Bellingen,2012,94.7
Belmont,2012,93.4
Belmont North,2012,93.4
Belmore,2012,93.25
Belrose,2012,94.2
Bemboka,2012,94.3
Berala,2012,96
Beresfield,2012,94.7
Berkeley Vale,2012,95.5
Bermagui,2012,91.3
Berowra,2012,92
Berowra Heights,2012,94.15
Berrima,2012,94.5
Berry,2012,91.6
Beverly Hills,2012,92.03333333
Bexhill,2012,94
Bexley,2012,93.475
Bidwill,2012,95.1
Bilpin,2012,91.8
Bingara,2012,67.2
Birrong,2012,92.7
Black Hill,2012,92
Blackalls Park,2012,94.4
Blackheath,2012,94.35
Blacksmiths,2012,94.2
Blacktown,2012,91.34285714
Blairmount,2012,89.2
Blakebrook,2012,96.6
Blakehurst,2012,92.45
Blaxland,2012,92.4
Blaxland East,2012,94.6
Blayney,2012,94.2
Bligh Park,2012,95.75
Boambee,2012,93.4
Bodalla,2012,94.3
Bogangar,2012,93
Bolwarra,2012,95.1
Bomaderry,2012,91.95
Bombala,2012,96.1
Bonalbo,2012,92
Bondi Beach,2012,94.5
Bonnet Bay,2012,93.9
Bonnyrigg,2012,94.5
Bonnyrigg Heights,2012,94.4
Boolaroo,2012,94.6
Boomerang Beach,2012,93.3
Booragul,2012,94
Booral,2012,95.1
Boorowa,2012,94.7
Boree Creek,2012,94.8
Bossley Park,2012,94.5
Botany,2012,94.775
Bourke,2012,94.5
Bowral,2012,94.2
Bowraville,2012,95.4
Bradbury,2012,93.1
Braidwood,2012,90.4
Branxton,2012,94.4
Brewarrina,2012,94.2
Brighton-Le-Sands,2012,93.7
Broadmeadow,2012,94.75
Broke,2012,93.6
Broken Hill,2012,92.72
Brooklyn,2012,91.6
Brookvale,2012,92.9
Broulee,2012,95.25
Brunswick Heads,2012,94.1
Budgewoi,2012,94
Bulli,2012,96
Bundanoon,2012,95.5
Bundarra,2012,93.7
Bundeena,2012,92.8
Bungendore,2012,95.7
Burren Junction,2012,93.9
Burringbar,2012,95.8
Burwood,2012,92.2
Busby,2012,94.7
Buxton,2012,91.7
Byron Bay,2012,93.3
Cabramatta,2012,92
Callala Bay,2012,92.3
Cambewarra,2012,95.5
Cambridge Park,2012,85.95
Camden,2012,91.8
Cammeray,2012,94.1
Campbelltown,2012,94.31428571
Campsie,2012,95.7
Candelo,2012,93.9
Canley Heights,2012,95.2
Canley Vale,2012,95.5
Canowindra,2012,90.9
Canterbury,2012,95.15
Captains Flat,2012,98.2
Cardiff,2012,94.6
Cardiff South,2012,96.2
Caringbah,2012,95.2
Carlingford,2012,90.825
Carlton,2012,92
Carnes Hill,2012,94.5
Carramar,2012,84.7
Carrington,2012,91.8
Cartwright,2012,95.1
Casino,2012,95.05
Castle Hill,2012,94.45
Castlereagh,2012,93.7
Casula,2012,94.7
Cattai,2012,91.7
Caves Beach,2012,92.4
Cecil Hills,2012,94.2
Central Mangrove,2012,94.7
Central Tilba,2012,93
Cessnock,2012,93.75
Charlestown,2012,94.65
Chatswood,2012,93.25
Chatsworth,2012,93.7
Cherrybrook,2012,88.73333333
Chester Hill,2012,94.2
Chippendale,2012,94.3
Chipping Norton,2012,93.5
Chisholm,2012,94.6
Chittaway Bay,2012,96.2
Claremont Meadows,2012,92.8
Clarence Town,2012,95.1
Clarenza,2012,90.6
Claymore,2012,92.2
Clergate,2012,93.9
Clovelly,2012,93.8
Clunes,2012,94.7
Coal Point,2012,90.5
Cobar,2012,93.9
Cobargo,2012,96.7
Cobbitty,2012,94.3
Coffee Camp,2012,93.8
Coffs Harbour,2012,95.96666667
Coleambally,2012,92.95
Coledale,2012,93.8
Collarenebri,2012,94.6
Collaroy,2012,93.2
Collaroy Plateau,2012,95.15
Colo Vale,2012,94.2
Como,2012,92.9
Concord,2012,87.7
Condobolin,2012,93.8
Condong,2012,94.8
Coniston,2012,95.3
Coogee,2012,95.75
Coolah,2012,95.7
Coolamon,2012,95.7
Cooma,2012,96.6
Cooma North,2012,94.9
Coonabarabran,2012,94.1
Coonamble,2012,94.7
Coorabell,2012,96.3
Cooranbong,2012,96.85
Cootamundra,2012,93.1
Copacabana,2012,93.8
Copmanhurst,2012,94.2
Coraki,2012,92.9
Cordeaux Heights,2012,92.3
Corindi Beach,2012,91
Corowa,2012,93.1
Corrimal,2012,95.7
Coutts Crossing,2012,93.8
Cowan,2012,95.3
Cowra,2012,95.3
Cranebrook,2012,92.3
Crescent Head,2012,95.6
Cringila,2012,94.9
Cromer,2012,88.7
Cronulla,2012,94.5
Croydon,2012,91.85
Croydon Park,2012,92.9
Crystal Creek,2012,93.7
Cudal,2012,93.5
Culcairn,2012,95.03333333
Cumnock,2012,87.9
Cundletown,2012,94.9
Curlewis,2012,93.9
Currans Hill,2012,97.4
Daceyville,2012,93
Dapto,2012,93.7
Dareton,2012,95.1
Davidson,2012,94.8
Dean Park,2012,95.5
Dee Why,2012,89.3
